filename,codec,original_size,compressed_size,compression_time,decompression_time
0702_3.tar,copy,11069440,11069440,18832285,5185293
0603.tar,copy,66406400,66406400,63470706,16709824
1206.tar,copy,21841920,21841920,28730996,7149243
1209.tar,copy,26163200,26163200,36941029,8078824
0605.tar,copy,20715520,20715520,22123380,7401311
0703.tar,copy,11069440,11069440,12723271,4450040
1102_apollo17_earth.tiff,copy,42363986,42363986,41939016,10054127
1105_hst_jupiter_aurorae.tiff,copy,15612134,15612134,16844900,5581633
1106_jupiter_family.tiff,copy,10329186,10329186,13506656,4501477
1204.tar,copy,21872640,21872640,24308089,5569040
1103_clem_lake_victoria.tiff,copy,9000152,9000152,10916839,3526580
1207.tar,copy,21841920,21841920,22280979,6110646
0703_3.tar,copy,11069440,11069440,12359913,3790812
0703_2.tar,copy,11069440,11069440,12472938,3414167
0602.tar,copy,65464320,65464320,61409241,15107469
0704.tar,copy,10547200,10547200,11936221,4391931
1101_apollo16_earth_northamerica.tiff,copy,42411890,42411890,49359474,10232394
1203.tar,copy,21913600,21913600,23576964,6538805
0704_3.tar,copy,10547200,10547200,12573810,3945915
1202.tar,copy,22220800,22220800,24086860,7149704
0704_2.tar,copy,10547200,10547200,12187667,4113914
0702.tar,copy,11069440,11069440,12777444,4497812
1205.tar,copy,21872640,21872640,22861717,6248207
1104_gal_moon_nims_41476.tiff,copy,16766114,16766114,19960713,5377227
0702_2.tar,copy,11069440,11069440,13476629,3931739
0701_2.tar,copy,11069440,11069440,12253262,3838863
0604.tar,copy,64440320,64440320,62291922,13484996
0701.tar,copy,11069440,11069440,12393367,4260310
0701_3.tar,copy,11069440,11069440,12849251,4157205
1201.tar,copy,20008960,20008960,20822816,5670090
1208.tar,copy,22702080,22702080,23475871,5740575
0702_3.tar,gzip,11069440,4619415,1037988572,80938964
0603.tar,gzip,66406400,7451846,2238671482,271180674
1206.tar,gzip,21841920,2768019,691058924,98872086
1209.tar,gzip,26163200,3453684,838313867,117515202
0605.tar,gzip,20715520,2680871,922266803,100142946
0703.tar,gzip,11069440,4444425,1463740913,88423984
1102_apollo17_earth.tiff,gzip,42363986,26694626,3695424476,357756668
1105_hst_jupiter_aurorae.tiff,gzip,15612134,4745120,771167558,89459418
